,inactivity,anomaly
0,897.0,0
1,3887.0,0
2,9269.0,0
3,23023.0,0
4,46943.0,0
5,897.0,0
6,8372.0,0
7,4186.0,0
8,5382.0,0
9,60697.0,0
10,4485.0,0
11,11063.0,0
12,72956.0,0
13,897.0,0
14,5681.0,0
15,6279.0,0
16,75946.0,0
17,1495.0,0
18,10764.0,0
19,15847.0,0
20,17043.0,0
21,40365.0,0
22,44551.0,0
23,32292.0,0
24,1495.0,0
25,2392.0,0
26,1196.0,0
27,34684.0,0
28,43953.0,0
29,5083.0,0
30,1495.0,0
31,1196.0,0
32,1794.0,0
33,8671.0,0
34,27508.0,0
35,1196.0,0
36,35880.0,0
37,2093.0,0
38,3887.0,0
39,5980.0,0
40,5083.0,0
41,1794.0,0
42,20930.0,0
43,12857.0,0
44,31694.0,0
45,1794.0,0
46,11960.0,0
47,3289.0,0
48,63986.0,0
49,4186.0,0
50,4485.0,0
51,12558.0,0
52,67275.0,0
53,1794.0,0
54,1196.0,0
55,41262.0,0
56,47242.0,0
57,77740.0,0
58,2093.0,0
59,2990.0,0
60,12259.0,0
61,17342.0,0
62,34983.0,0
63,19435.0,0
64,2691.0,0
65,77441.0,0
66,1495.0,0
67,2691.0,0
68,77740.0,0
69,7176.0,0
70,11661.0,0
71,17940.0,0
72,49335.0,0
73,3588.0,0
74,84916.0,0
75,1196.0,0
76,6578.0,0
77,161460.0,0
78,1495.0,0
79,9568.0,0
80,6877.0,0
81,66079.0,0
82,11362.0,0
83,9568.0,0
84,22425.0,0
85,12558.0,0
86,27209.0,0
87,1196.0,0
88,4784.0,0
89,598.0,0
90,14352.0,0
91,10465.0,0
92,10764.0,0
93,43355.0,0
94,897.0,0
95,5083.0,0
96,9568.0,0
97,24219.0,0
98,3887.0,0
99,38870.0,0
100,2093.0,0
101,3588.0,0
102,2691.0,0
103,76544.0,0
104,2093.0,0
105,2093.0,0
106,1196.0,0
107,83421.0,0
108,78039.0,0
109,2392.0,0
110,3289.0,0
111,46943.0,0
112,33787.0,0
113,2990.0,0
114,2392.0,0
115,76544.0,0
116,11960.0,0
117,5382.0,0
118,2093.0,0
119,29601.0,0
120,37076.0,0
121,2392.0,0
122,78039.0,0
123,11661.0,0
124,80431.0,0
125,4485.0,0
126,897.0,0
127,9867.0,0
128,74451.0,0
129,76544.0,0
130,4186.0,0
131,4485.0,0
132,35880.0,0
133,44252.0,0
134,5980.0,0
135,4784.0,0
136,17043.0,0
137,55016.0,0
138,897.0,0
139,7475.0,0
140,74152.0,0
141,9568.0,0
142,79534.0,0
143,4784.0,0
144,79833.0,0
145,13156.0,0
146,20332.0,0
147,134849.0,0
148,84617.0,0
149,3289.0,0
150,2691.0,0
151,43056.0,0
152,40963.0,0
153,897.0,0
154,3289.0,0
155,2691.0,0
156,4186.0,0
157,1495.0,0
158,15847.0,0
159,54717.0,0
160,10166.0,0
161,1196.0,0
162,1794.0,0
163,3588.0,0
164,65182.0,0
165,897.0,0
166,4784.0,0
167,9867.0,0
168,30498.0,0
169,37973.0,0
170,1196.0,0
171,2392.0,0
172,6578.0,0
173,23920.0,0
174,14950.0,0
175,40664.0,0
176,30498.0,0
177,10764.0,0
178,38272.0,0
179,1196.0,0
180,897.0,0
181,598.0,0
182,1794.0,0
183,9867.0,0
184,10465.0,0
185,13754.0,0
186,5980.0,0
187,38870.0,0
188,2093.0,0
189,1495.0,0
190,11960.0,0
191,13455.0,0
192,17043.0,0
193,29003.0,0
194,871585.0,1
195,1196.0,0
196,3289.0,0
197,1794.0,0
198,18837.0,0
199,2691.0,0
200,55614.0,0
201,81328.0,0
202,2093.0,0
203,2990.0,0
204,10465.0,0
205,67873.0,0
206,2392.0,0
207,6578.0,0
208,35581.0,0
209,5980.0,0
210,34684.0,0
211,897.0,0
212,1196.0,0
213,11960.0,0
214,5980.0,0
215,27807.0,0
216,35880.0,0
217,6279.0,0
218,3289.0,0
219,1794.0,0
220,2691.0,0
221,18538.0,0
222,2691.0,0
223,1196.0,0
224,13455.0,0
225,32292.0,0
226,2093.0,0
227,46046.0,0
228,36179.0,0
229,1794.0,0
230,37076.0,0
231,48139.0,0
232,81627.0,0
233,897.0,0
234,84617.0,0
235,13455.0,0
236,16744.0,0
237,16445.0,0
238,37076.0,0
239,6877.0,0
240,2691.0,0
241,4485.0,0
242,2691.0,0
243,8073.0,0
244,22425.0,0
245,32890.0,0
246,2691.0,0
247,11960.0,0
248,19136.0,0
249,15847.0,0
250,34983.0,0
251,598.0,0
252,2691.0,0
253,45149.0,0
254,34684.0,0
255,2093.0,0
256,1794.0,0
257,39468.0,0
258,47242.0,0
259,27807.0,0
260,7176.0,0
261,43953.0,0
262,3289.0,0
263,12259.0,0
264,21827.0,0
265,1495.0,0
266,5083.0,0
267,38272.0,0
268,897.0,0
269,6578.0,0
270,9867.0,0
271,32890.0,0
272,37375.0,0
273,10764.0,0
274,3887.0,0
275,16146.0,0
276,6578.0,0
277,12558.0,0
278,32292.0,0
279,11362.0,0
280,2392.0,0
281,16744.0,0
282,19435.0,0
283,31694.0,0
284,16146.0,0
285,1794.0,0
286,28106.0,0
287,39169.0,0
288,1196.0,0
289,95381.0,0
290,20033.0,0
291,5681.0,0
292,46943.0,0
293,5681.0,0
294,6578.0,0
295,7475.0,0
296,23920.0,0
297,2093.0,0
298,36478.0,0
299,897.0,0
300,14950.0,0
301,22724.0,0
302,10166.0,0
303,34684.0,0
304,1495.0,0
305,598.0,0
306,3588.0,0
307,11960.0,0
308,30199.0,0
309,36777.0,0
310,1196.0,0
311,10166.0,0
312,1794.0,0
313,8970.0,0
314,15847.0,0
315,2691.0,0
316,2093.0,0
317,1495.0,0
318,8372.0,0
319,27807.0,0
320,14352.0,0
321,598.0,0
322,27508.0,0
323,5083.0,0
324,5083.0,0
325,31694.0,0
326,2093.0,0
327,3289.0,0
328,5083.0,0
329,14352.0,0
330,10764.0,0
331,9867.0,0
332,58604.0,0
333,14651.0,0
334,2392.0,0
335,11362.0,0
336,2990.0,0
337,30498.0,0
338,897.0,0
339,12259.0,0
340,5980.0,0
341,10764.0,0
342,10764.0,0
343,2990.0,0
344,8671.0,0
345,28405.0,0
346,1196.0,0
347,13455.0,0
348,31395.0,0
349,2990.0,0
350,2691.0,0
351,33488.0,0
352,7475.0,0
353,3289.0,0
354,11362.0,0
355,9269.0,0
356,18538.0,0
357,29601.0,0
358,897.0,0
359,14651.0,0
360,1196.0,0
361,17342.0,0
362,17043.0,0
363,32591.0,0
364,15548.0,0
365,6578.0,0
366,20033.0,0
367,13455.0,0
368,29601.0,0
369,1794.0,0
370,2093.0,0
371,3887.0,0
372,7774.0,0
373,21528.0,0
374,8671.0,0
375,35880.0,0
376,34385.0,0
377,4186.0,0
378,46046.0,0
379,3887.0,0
380,23023.0,0
381,55315.0,0
382,86411.0,0
383,50531.0,0
384,34385.0,0
385,86710.0,0
386,46943.0,0
387,38571.0,0
388,1794.0,0
389,7176.0,0
390,3887.0,0
391,16445.0,0
392,10166.0,0
393,12558.0,0
394,34385.0,0
395,30199.0,0
396,14352.0,0
397,38571.0,0
398,49634.0,0
399,34086.0,0
400,1495.0,0
401,34983.0,0
402,2691.0,0
403,15847.0,0
404,30199.0,0
405,9867.0,0
406,14950.0,0
407,17043.0,0
408,4784.0,0
409,6877.0,0
410,29003.0,0
411,897.0,0
412,34684.0,0
413,13455.0,0
414,5382.0,0
415,29601.0,0
416,4186.0,0
417,35282.0,0
418,13156.0,0
419,36179.0,0
420,1495.0,0
421,6279.0,0
422,897.0,0
423,17940.0,0
424,6578.0,0
425,8671.0,0
426,5382.0,0
427,41561.0,0
428,35282.0,0
429,7475.0,0
430,30498.0,0
431,2093.0,0
432,7475.0,0
433,21827.0,0
434,8073.0,0
435,1196.0,0
436,8073.0,0
437,31694.0,0
438,5083.0,0
439,9867.0,0
440,34684.0,0
441,3588.0,0
442,31096.0,0
443,15548.0,0
444,1196.0,0
445,22724.0,0
446,11362.0,0
447,32292.0,0
448,1495.0,0
449,17641.0,0
450,26312.0,0
451,5083.0,0
452,32292.0,0
453,897.0,0
454,15847.0,0
455,3289.0,0
456,4485.0,0
457,60099.0,0
458,3289.0,0
459,7176.0,0
460,6279.0,0
461,5681.0,0
462,7774.0,0
463,67275.0,0
464,5083.0,0
465,17342.0,0
466,9269.0,0
467,38870.0,0
468,897.0,0
469,4784.0,0
470,7176.0,0
471,26611.0,0
472,6279.0,0
473,4485.0,0
474,30498.0,0
475,1794.0,0
476,14950.0,0
477,38571.0,0
478,34086.0,0
479,1196.0,0
480,8970.0,0
481,2093.0,0
482,18538.0,0
483,2093.0,0
484,8372.0,0
485,3588.0,0
486,2093.0,0
487,31096.0,0
488,897.0,0
489,14950.0,0
490,1794.0,0
491,9867.0,0
492,12558.0,0
493,7774.0,0
494,5083.0,0
495,30199.0,0
496,598.0,0
497,12558.0,0
498,2392.0,0
499,36777.0,0
500,3887.0,0
501,26013.0,0
502,1794.0,0
503,19136.0,0
504,11362.0,0
505,6877.0,0
506,14053.0,0
507,45149.0,0
508,897.0,0
509,30199.0,0
510,5382.0,0
511,34983.0,0
512,2392.0,0
513,5083.0,0
514,3887.0,0
515,1196.0,0
516,15249.0,0
517,16445.0,0
518,4485.0,0
519,35282.0,0
520,4186.0,0
521,37674.0,0
522,6279.0,0
523,31395.0,0
524,2392.0,0
525,50531.0,0
526,35581.0,0
527,6578.0,0
528,598.0,0
529,12558.0,0
530,4784.0,0
531,22425.0,0
532,30498.0,0
533,1495.0,0
534,2990.0,0
535,2392.0,0
536,28106.0,0
537,7176.0,0
538,5382.0,0
539,40066.0,0
540,9867.0,0
541,2691.0,0
542,37674.0,0
543,49634.0,0
544,897.0,0
545,20033.0,0
546,1794.0,0
547,5980.0,0
548,2990.0,0
549,33189.0,0
550,1495.0,0
551,37375.0,0
552,6578.0,0
553,8073.0,0
554,30199.0,0
555,598.0,0
556,1196.0,0
557,12857.0,0
558,32292.0,0
559,6578.0,0
560,30498.0,0
561,18837.0,0
562,27209.0,0
563,5980.0,0
564,31096.0,0
565,897.0,0
566,11960.0,0
567,5980.0,0
568,29003.0,0
569,2990.0,0
570,33787.0,0
571,3289.0,0
572,4186.0,0
573,7475.0,0
574,13455.0,0
575,6279.0,0
576,9867.0,0
577,1495.0,0
578,4186.0,0
579,31694.0,0
580,9867.0,0
581,3289.0,0
582,3887.0,0
583,2691.0,0
584,3289.0,0
585,26312.0,0
586,47840.0,0
587,37375.0,0
588,29601.0,0
589,1495.0,0
590,6279.0,0
591,8970.0,0
592,23023.0,0
593,6578.0,0
594,8970.0,0
595,29601.0,0
596,6578.0,0
597,8970.0,0
598,40066.0,0
599,29003.0,0
600,13754.0,0
601,2990.0,0
602,37076.0,0
603,28704.0,0
604,897.0,0
605,23322.0,0
606,29900.0,0
607,29601.0,0
608,1196.0,0
609,6578.0,0
610,38272.0,0
611,8372.0,0
612,32890.0,0
613,2691.0,0
614,8073.0,0
615,36179.0,0
616,1196.0,0
617,36777.0,0
618,27209.0,0
619,8372.0,0
620,7774.0,0
621,6877.0,0
622,31993.0,0
623,1495.0,0
624,10465.0,0
625,16445.0,0
626,3887.0,0
627,15847.0,0
628,29900.0,0
629,897.0,0
630,14053.0,0
631,37674.0,0
632,34684.0,0
633,7475.0,0
634,4186.0,0
635,11063.0,0
636,5980.0,0
637,20930.0,0
638,29601.0,0
639,5083.0,0
640,9568.0,0
641,15548.0,0
642,2093.0,0
643,4784.0,0
644,9568.0,0
645,2990.0,0
646,34086.0,0
647,2093.0,0
648,50531.0,0
649,26910.0,0
650,20332.0,0
651,3887.0,0
652,31395.0,0
653,49933.0,0
654,11661.0,0
655,23322.0,0
656,30199.0,0
657,1495.0,0
658,4186.0,0
659,49335.0,0
660,27508.0,0
661,6877.0,0
662,9568.0,0
663,23621.0,0
664,897.0,0
665,5382.0,0
666,7475.0,0
667,29302.0,0
668,1794.0,0
669,4784.0,0
670,11362.0,0
671,21528.0,0
672,14950.0,0
673,27807.0,0
674,19136.0,0
675,897.0,0
676,6279.0,0
677,24219.0,0
678,2392.0,0
679,32591.0,0
680,3887.0,0
681,8970.0,0
682,8671.0,0
683,8073.0,0
684,4784.0,0
685,3289.0,0
686,9568.0,0
687,31096.0,0
688,2093.0,0
689,3887.0,0
690,7176.0,0
691,24219.0,0
692,15847.0,0
693,1495.0,0
694,35282.0,0
695,21528.0,0
696,24817.0,0
697,31096.0,0
698,5382.0,0
699,23621.0,0
700,24817.0,0
701,30199.0,0
